date,close,open,high,low,volume
2024-08-08,24.05,22.76,24.38,21.97,1942853
2024-08-09,25.05,24.75,25.36,24.085,1481832
2024-08-12,23.61,24.08,25.0,22.65,2210982
2024-08-13,25.04,23.51,25.67,23.48,1702637
2024-08-14,23.42,25.05,25.14,23.26,2274634
2024-08-15,21.96,23.63,24.2,21.6512,2756525
2024-08-16,24.0,23.13,24.15,22.4443,1690641
2024-08-19,23.41,23.19,23.65,22.6712,1476618
2024-08-20,23.81,24.66,24.97,23.03,1436966
2024-08-21,25.44,23.76,25.51,23.26,1568690
2024-08-22,24.38,24.82,24.9098,24.18,940388
2024-08-23,27.05,24.97,27.26,24.74,2524472
2024-08-26,26.72,27.18,27.24,26.525,1218723
2024-08-27,25.69,25.92,25.9897,25.1,1402433
2024-08-28,22.98,23.83,23.96,22.15,2097013
2024-08-29,23.22,24.08,24.76,22.99,1537814
2024-08-30,22.74,23.48,23.66,22.0,1826527
2024-09-03,22.21,23.03,23.08,21.8099,2083892
2024-09-04,22.25,21.02,22.6094,20.71,2303481
2024-09-05,20.66,21.19,21.63,20.48,2224596
2024-09-06,18.78,21.22,21.31,18.56,3268928
2024-09-09,21.38,20.16,21.435,19.71,1855483
2024-09-10,21.98,21.21,22.05,20.87,1431831
2024-09-11,21.69,21.07,21.99,20.07,1573083
2024-09-12,22.28,21.79,22.39,21.43,1660252
2024-09-13,23.3,21.74,23.54,21.72,1904349
2024-09-16,21.86,22.32,22.32,21.48,1252825
2024-09-17,23.32,22.88,24.44,22.57,2062429
2024-09-18,23.41,23.28,24.44,22.73,1826681
2024-09-19,25.91,26.04,26.43,25.45,1872682
2024-09-20,25.54,25.71,26.15,25.18,1086459
2024-09-23,25.91,25.9,26.36,25.7176,1709851
2024-09-24,26.72,26.04,26.8161,25.41,1554640
2024-09-25,25.79,26.1,26.47,25.6,1016663
2024-09-26,26.99,26.76,28.0,26.56,1887822
2024-09-27,27.81,27.85,28.62,27.58,2557380
