date,close,open,high,low,volume
2010-08-18,87.57,86.35,89.33,85.36,2964800
2010-08-19,84.349998,86.33,87.22,82.1,4267200
2010-08-20,84.059998,83.5,84.7,82.01,3691200
2010-08-23,81.739998,85.94,86.45,81.62,4508800
2010-08-24,77.050003,79.07,79.66,76.1,6033600
2010-08-25,79.360001,75.55,80.31,75.18,6006400
2010-08-26,76.769997,80.38,80.51,76.25,5540800
2010-08-27,79.309998,78.11,79.65,73.4,8019200
2010-08-30,76.739998,78.09,80.18,76.72,4380800
2010-08-31,76.360001,75.6,77.97,74.51,6518400
2010-09-01,82.760002,79.3,83.53,79.19,5401600
2010-09-02,85.599998,83.27,85.6,82.64,2262400
2010-09-03,89.959999,88.2,89.96,87.29,5636800
2010-09-07,87.769997,88.75,89.82,87.58,4057600
2010-09-08,90.870003,88.75,92.33,88.75,4745600
2010-09-09,92.019997,93.7,93.85,91.64,3764800
2010-09-10,93.010002,92.69,93.51,91.18,2664000
2010-09-13,97.110001,95.44,97.81,95.35,3488000
2010-09-14,98.339996,96.7,99.84,96.14,3531200
2010-09-15,100.010002,97.56,100.5,96.77,2819200
2010-09-16,101.419998,99.95,101.59,98.89,3907200
2010-09-17,102.5,103.49,103.49,100.95,4784000
2010-09-20,107.839996,103.65,108.39,103.29,4398400
2010-09-21,107.5,107.93,110.0,106.36,7244800
2010-09-22,106.989998,106.3,109.09,105.2,4024000
2010-09-23,106.669998,104.8,109.9,104.48,5712000
2010-09-24,112.709999,110.48,113.4,109.95,5272000
2010-09-27,111.419998,113.23,113.82,111.11,4046400
2010-09-28,111.699997,112.47,112.47,106.08,6092800
2010-09-29,110.800003,110.82,112.33,109.55,2660800
2010-09-30,109.300003,112.48,114.46,107.13,7395200
2010-10-01,108.959999,111.86,112.31,107.35,4876800
2010-10-04,105.18,107.87,108.98,103.48,5160000
2010-10-05,113.010002,108.91,113.55,108.73,4574400
2010-10-06,110.129997,112.54,113.25,107.91,3688000
