date,close,open,high,low,volume
2010-08-06,0.502465668,0.4925626151,0.5128257849,0.4837260448,7914000
2010-08-09,0.5106928196,0.5061221798,0.5180058433,0.4936290977,7584000
2010-08-10,0.4714614947,0.4951526443,0.4951526443,0.4578257527,18732000
2010-08-11,0.414709384,0.4412190948,0.4416761587,0.4028561914,30720000
2010-08-12,0.398102726,0.3853049346,0.4035874938,0.3717453699,27768000
2010-08-13,0.3860667079,0.4000833366,0.4109005175,0.3853049346,9888000
2010-08-16,0.3900279291,0.3824101961,0.4020030053,0.3732689165,15528000
2010-08-17,0.4049586857,0.4051110404,0.4186706051,0.3962744701,14430000
2010-08-18,0.4185182505,0.4086151976,0.4246124368,0.4005419241,10218000
2010-08-19,0.3974933074,0.4136429013,0.4198894424,0.3920085396,11196000
2010-08-20,0.4020639472,0.4011498192,0.4139476107,0.3936844409,8682000
2010-08-23,0.3878949638,0.4134905467,0.4153188026,0.3874378999,15390000
2010-08-24,0.3682412127,0.3723547885,0.3808866495,0.3594046425,13998000
2010-08-25,0.3793631029,0.3630611543,0.3840860973,0.3496539442,19578000
2010-08-26,0.3577287412,0.3860667079,0.3881996732,0.3537690436,15816000
2010-08-27,0.3790583936,0.368545922,0.3831719694,0.339446182,22824000
2010-08-30,0.3516345548,0.3735736258,0.3786013296,0.3510251362,11874000
2010-08-31,0.3292384198,0.3488921709,0.3560528399,0.3243630707,17046000
2010-09-01,0.3598617064,0.3426456299,0.3706788873,0.3426456299,21294000
2010-09-02,0.383781388,0.3659558928,0.383781388,0.3586428692,32310000
2010-09-03,0.4003880459,0.3988644993,0.4090722615,0.3808866495,39972000
2010-09-07,0.3787536842,0.3968838888,0.399930982,0.3747924631,24540000
2010-09-08,0.3725071432,0.3804295855,0.3828672601,0.361842317,55176000
2010-09-09,0.3740306898,0.3865237719,0.3874455176,0.3696124047,16536000
2010-09-10,0.3594046425,0.3706788873,0.3754018817,0.3434074032,50568000
2010-09-13,0.3950556328,0.3702218233,0.3959697608,0.3697647593,34164000
2010-09-14,0.4144046746,0.3915514757,0.4220224076,0.3805773695,29940000
2010-09-15,0.4112052268,0.4058728137,0.4121193547,0.3944462142,20400000
2010-09-16,0.4198894424,0.4029780752,0.421412989,0.4003880459,15978000
2010-09-17,0.4201941517,0.4259836288,0.4278118847,0.4136429013,14418000
2010-09-20,0.4252218555,0.4203465064,0.4277204719,0.4075502385,39192000
2010-09-21,0.4223271169,0.4236983089,0.4334490071,0.4183658958,18630000
2010-09-22,0.4048476192,0.41696333,0.4210628598,0.3954750882,25320000
2010-09-23,0.4126961614,0.3936463017,0.4337272065,0.3860263578,21150000
2010-09-24,0.4617686001,0.4312888245,0.4642069821,0.4312888245,25266000
2010-09-27,0.4538743382,0.4652737743,0.4664929653,0.4485114217,20460000
2010-09-28,0.4750273025,0.459330218,0.4776180834,0.4405241965,25440000
2010-09-29,0.485542825,0.4663405664,0.4962107465,0.4663405664,31692000
2010-09-30,0.4750273025,0.4931627689,0.5029162971,0.4616162012,36396000
2010-10-01,0.4699981395,0.4866096172,0.4896591187,0.4592387787,24258000
2010-10-04,0.4507958809,0.4672549597,0.4675597574,0.4351109884,25332000
2010-10-05,0.4789896733,0.4602446113,0.4832568419,0.4602446113,24222000
2010-10-06,0.4625305945,0.4785324767,0.479294471,0.4457667179,22194000
2010-10-07,0.4626829934,0.4614638023,0.4692361451,0.4465287123,20838000
2010-10-08,0.4777704823,0.4594826169,0.4799040666,0.4442427291,29346000
